sex,sexage_rec,health_cond,educ,mjday30a,mjage,alctry,cigtry,smklsstry,oxcnnmage,mjmfu,poverty3,irfamin3,cig30use,mjever,age2,smklss30n
Male,Other,Very Good,College grad,20,18,15,20,15,34,99,3,7,93,1,15,5
Male,Other,Very Good,College grad,1,18,18,31,991,993,99,3,7,2,1,15,91
Male,Males Aged 18-25,Excellent,Less HS,20,16,16,16,991,991,99,2,4,30,1,11,91
Female,Females Aged 18-25,Fair/Poor,Some coll/Assoc,10,12,13,11,991,991,99,1,2,30,1,11,91
Male,Other,Fair/Poor,Some coll/Assoc,25,12,3,15,12,994,99,1,3,30,1,15,10
Female,Other,Good,Some coll/Assoc,5,15,15,15,16,991,99,3,7,93,1,13,93
Male,Males Aged 18-25,Good,Less HS,7,15,18,12,12,993,99,3,7,30,1,9,93
Male,Other,Good,HS grad,2,21,17,16,991,991,99,1,3,30,1,15,91
Female,Other,Very Good,Some coll/Assoc,30,11,12,12,991,993,99,3,7,93,1,15,91
Male,Other,Good,Some coll/Assoc,27,16,17,14,16,993,99,3,7,6,1,15,93
Female,Other,Fair/Poor,HS grad,30,14,12,11,28,993,99,1,2,30,1,14,93
Female,Females Aged 12-17,Fair/Poor,12-17yrsold,15,14,11,12,991,991,99,2,3,30,1,5,91
Male,Males Aged 18-25,Fair/Poor,Some coll/Assoc,30,11,9,11,12,993,99,3,4,93,1,9,93
Male,Other,Good,HS grad,30,8,12,9,10,991,99,1,2,28,1,15,93
Male,Males Aged 18-25,Very Good,Some coll/Assoc,20,14,12,11,15,991,99,3,7,93,1,12,93
Female,Females Aged 18-25,Very Good,HS grad,28,18,18,18,991,991,99,3,7,30,1,10,91
Female,Other,Fair/Poor,Some coll/Assoc,30,18,15,13,991,991,99,3,7,4,1,15,91
Male,Other,Good,Less HS,27,14,15,12,14,991,99,1,3,30,1,15,93
Male,Males Aged 12-17,Very Good,12-17yrsold,3,15,14,15,14,991,8,3,7,10,1,5,20
Female,Females Aged 12-17,Very Good,12-17yrsold,6,15,15,15,991,993,8,1,3,2,1,5,91
Female,Females Aged 18-25,Very Good,Some coll/Assoc,5,16,16,16,991,991,99,3,7,93,1,11,91
Female,Other,Very Good,College grad,2,16,16,16,24,993,99,3,4,2,1,13,93
Female,Females Aged 18-25,Very Good,HS grad,26,14,15,14,991,993,99,3,7,26,1,7,91
